,Co,Ni,W,Al,Cr,Fe,Ti,Cu,structure,volume,bandgap,natoms,ntypes,energy,crystal_structure,crystal_system
170,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Cmcm,171.962,0.0,12,2,0.1294468449999991,C,orthorhombic
171,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,363.057,0.0,24,2,0.4766509812499997,P,hexagonal
172,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,362.008,0.0,24,2,0.4722508754166672,P,hexagonal
173,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,435.188,0.0,30,2,0.1752672039999993,P,tetragonal
174,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,425.514,0.0,30,2,0.0608572703333322,P,tetragonal
175,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,386.695,0.0,24,2,0.815423025,P,hexagonal
176,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,437.852,0.0,30,2,0.2651027929999998,P,tetragonal
177,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Fd-3m,95.9597,0.0,6,2,0.817524745,F,cubic
178,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,I-43m,479.119,0.0,29,2,0.3491232000000003,I,cubic
179,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Fm-3m,59.9095,0.0,4,2,0.242779197500001,F,cubic
180,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,I4/mmm,59.4175,0.0,4,2,0.2845729775,I,tetragonal
181,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,118.633,0.0,8,2,0.336032102500001,P,hexagonal
182,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Pm-3m,59.0169,0.0,4,2,0.256202567500001,P,cubic
183,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,I4/mmm,59.6073,0.0,4,2,0.2836502124999995,I,tetragonal
184,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,I4/mmm,59.6094,0.0,4,2,0.2836304675000001,I,tetragonal
185,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,361.114,0.0,24,2,0.2755234695833337,P,hexagonal
